X,Y,uid,date,temperature,valflag,idtrack,release_name,drifter_name
-8.952606,42.540806,"826",2019/07/18 09:32:39,,"0","82",segundo lanzamento,palillo 5
-8.952334,42.541635,"820",2019/07/18 09:23:04,,"0","82",segundo lanzamento,palillo 5
-8.951663,42.542688,"810",2019/07/18 09:11:17,,"0","82",segundo lanzamento,palillo 5
-8.950761,42.543836,"798",2019/07/18 09:00:06,,"0","82",segundo lanzamento,palillo 5
-8.949842,42.544973,"789",2019/07/18 08:50:32,,"0","82",segundo lanzamento,palillo 5
-8.948333,42.546492,"849",2019/07/18 08:39:25,,"0","83",segundo lanzamento,palillo 6
-8.952496,42.540119,"834",2019/07/18 09:42:29,,"0","83",segundo lanzamento,palillo 6
-8.952212,42.540886,"825",2019/07/18 09:31:38,,"0","83",segundo lanzamento,palillo 6
-8.952124,42.541608,"816",2019/07/18 09:21:38,,"0","83",segundo lanzamento,palillo 6
-8.951663,42.542688,"811",2019/07/18 09:11:17,,"0","83",segundo lanzamento,palillo 6
-8.950761,42.543836,"799",2019/07/18 09:00:06,,"0","83",segundo lanzamento,palillo 6
-8.949842,42.544973,"790",2019/07/18 08:50:32,,"0","83",segundo lanzamento,palillo 6
-8.948333,42.546492,"850",2019/07/18 08:39:25,,"0","84",segundo lanzamento,palillo 7
-8.953222,42.539961,"838",2019/07/18 09:43:50,,"0","84",segundo lanzamento,palillo 7
-8.952821,42.540665,"828",2019/07/18 09:33:10,,"0","84",segundo lanzamento,palillo 7
-8.952409,42.541654,"818",2019/07/18 09:22:36,,"0","84",segundo lanzamento,palillo 7
-8.951663,42.542688,"808",2019/07/18 09:11:17,,"0","84",segundo lanzamento,palillo 7
-8.950761,42.543836,"800",2019/07/18 09:00:06,,"0","84",segundo lanzamento,palillo 7
-8.949842,42.544973,"791",2019/07/18 08:50:32,,"0","84",segundo lanzamento,palillo 7
-8.948333,42.546492,"851",2019/07/18 08:39:25,,"0","85",segundo lanzamento,palillo 8
-8.953051,42.539995,"837",2019/07/18 09:43:35,,"0","85",segundo lanzamento,palillo 8
-8.952821,42.540665,"829",2019/07/18 09:33:10,,"0","85",segundo lanzamento,palillo 8
-8.952332,42.541539,"817",2019/07/18 09:22:02,,"0","85",segundo lanzamento,palillo 8
-8.951647,42.542627,"806",2019/07/18 09:11:00,,"0","85",segundo lanzamento,palillo 8
-8.950761,42.543836,"801",2019/07/18 09:00:06,,"0","85",segundo lanzamento,palillo 8
-8.949842,42.544973,"792",2019/07/18 08:50:32,,"0","85",segundo lanzamento,palillo 8
-8.948333,42.546492,"852",2019/07/18 08:39:25,,"0","86",segundo lanzamento,palillo 9
-8.952986,42.540008,"836",2019/07/18 09:43:29,,"0","86",segundo lanzamento,palillo 9
-8.952736,42.540749,"827",2019/07/18 09:32:55,,"0","86",segundo lanzamento,palillo 9
-8.952334,42.541635,"819",2019/07/18 09:23:04,,"0","86",segundo lanzamento,palillo 9
-8.951663,42.542688,"807",2019/07/18 09:11:17,,"0","86",segundo lanzamento,palillo 9
-8.950761,42.543836,"802",2019/07/18 09:00:06,,"0","86",segundo lanzamento,palillo 9
-8.949842,42.544973,"793",2019/07/18 08:50:32,,"0","86",segundo lanzamento,palillo 9
